record_id_1,record_id_2,same_person
REC0000132,REC0014588,0
REC0004667,REC0009549,0
REC0005603,REC0009615,0
REC0000516,REC0000517,1
REC0000046,REC0007358,0
REC0000221,REC0000223,1
REC0005818,REC0013471,0
REC0007971,REC0010095,0
REC0000617,REC0002781,0
REC0011544,REC0011545,1
REC0007074,REC0008031,0
REC0001147,REC0005006,0
REC0003193,REC0013656,0
REC0014958,REC0014959,1
REC0001184,REC0013355,0
REC0010769,REC0014506,0
REC0002794,REC0002795,1
REC0000212,REC0000213,1
REC0001644,REC0011114,0
REC0000839,REC0009807,0
REC0001425,REC0012828,0
REC0000753,REC0010474,0
REC0002096,REC0012082,0
REC0000824,REC0002070,0
REC0006036,REC0010640,0
REC0004016,REC0012615,0
REC0005981,REC0011667,0
REC0008222,REC0009671,0
REC0005107,REC0013826,0
REC0011551,REC0013773,0
REC0011412,REC0011413,1
REC0009777,REC0009778,1
REC0000125,REC0008654,0
REC0003427,REC0013962,0
REC0007403,REC0007404,1
REC0011944,REC0011945,1
REC0006096,REC0013345,0
REC0008177,REC0008178,1
REC0004863,REC0004864,1
REC0001182,REC0008115,0
REC0002977,REC0005668,0
REC0006966,REC0006967,1
REC0001603,REC0012851,0
REC0003760,REC0004048,0
REC0001363,REC0003083,0
REC0001476,REC0007066,0
REC0008081,REC0012392,0
REC0001186,REC0001187,1
REC0000474,REC0001845,0
REC0003988,REC0012109,0
REC0014200,REC0014201,1
REC0003341,REC0008100,0
REC0004591,REC0012604,0
REC0001130,REC0009448,0
REC0000566,REC0000567,1
REC0011688,REC0011689,1
REC0003515,REC0003516,1
REC0000256,REC0000647,0
REC0008330,REC0012176,0
REC0000717,REC0001590,0
REC0009240,REC0014439,0
REC0002188,REC0002189,1
REC0001384,REC0001386,1
REC0002211,REC0002213,1
REC0009257,REC0011669,0
REC0004202,REC0010089,0
REC0001152,REC0011327,0
REC0001297,REC0010473,0
REC0008081,REC0010659,0
REC0008788,REC0013700,0
REC0011045,REC0013031,0
REC0002197,REC0008151,0
REC0008102,REC0014775,0
REC0009776,REC0010996,0
REC0014768,REC0014769,1
REC0010450,REC0011937,0
REC0001007,REC0002946,0
REC0002988,REC0011097,0
REC0001671,REC0013945,0
REC0009674,REC0009675,1
REC0006592,REC0009173,0
REC0001109,REC0002385,0
REC0007380,REC0007381,1
REC0003236,REC0003237,1
REC0007493,REC0009347,0
REC0008324,REC0014384,0
REC0006088,REC0009285,0
REC0005989,REC0014391,0
REC0006671,REC0010095,0
REC0007400,REC0013929,0
REC0000941,REC0002661,0
REC0009873,REC0013649,0
REC0001680,REC0001681,1
REC0001437,REC0001439,1
REC0005410,REC0012812,0
REC0000763,REC0002706,0
REC0006444,REC0013982,0
REC0014184,REC0014186,1
REC0005985,REC0011613,0
REC0011656,REC0014189,0
REC0002563,REC0009471,0
REC0008471,REC0012425,0
REC0003503,REC0011847,0
REC0004467,REC0010012,0
REC0002685,REC0002686,1
REC0008975,REC0010691,0
REC0008118,REC0008119,1
REC0000196,REC0000198,1
REC0001565,REC0001567,1
REC0007022,REC0007023,1
REC0010542,REC0013188,0
REC0004265,REC0009320,0
REC0000471,REC0000472,1
REC0004137,REC0009187,0
REC0013635,REC0013636,1
REC0003379,REC0003380,1
REC0007763,REC0010746,0
REC0007602,REC0013005,0
REC0000809,REC0011834,0
REC0013626,REC0013627,1
REC0002137,REC0003325,0
REC0001810,REC0001811,1
REC0004204,REC0004205,1
REC0014192,REC0014193,1
REC0011873,REC0013534,0
REC0009555,REC0009556,1
REC0000191,REC0000192,1
REC0006358,REC0006359,1
REC0005097,REC0012364,0
REC0000139,REC0000140,1
REC0011665,REC0011666,1
REC0009271,REC0014195,0
REC0011459,REC0013101,0
REC0000930,REC0004104,0
REC0000515,REC0000517,1
REC0013765,REC0013766,1
REC0007985,REC0008113,0
REC0012198,REC0012199,1
REC0003551,REC0007651,0
REC0001637,REC0004611,0
REC0003372,REC0003373,1
REC0008274,REC0008275,1
REC0010492,REC0010493,1
REC0003122,REC0007004,0
REC0011016,REC0011525,0
REC0013837,REC0013838,1
REC0004382,REC0010493,0
REC0004458,REC0009799,0
REC0004495,REC0004647,0
REC0012026,REC0014571,0
REC0005773,REC0014095,0
REC0008502,REC0012256,0
REC0006714,REC0006715,1
REC0002284,REC0010546,0
REC0004673,REC0004674,1
REC0004631,REC0004632,1
REC0002228,REC0002229,1
REC0004988,REC0004989,1
REC0008773,REC0011453,0
REC0002862,REC0013333,0
REC0005954,REC0005955,1
REC0010592,REC0010593,1
REC0000735,REC0011919,0
REC0004714,REC0004715,1
REC0001548,REC0012436,0
REC0003708,REC0012565,0
REC0007615,REC0007719,0
REC0002320,REC0013900,0
REC0001530,REC0007627,0
REC0011030,REC0013313,0
REC0007684,REC0009780,0
REC0001125,REC0009550,0
REC0000238,REC0009776,0
REC0006932,REC0006934,1
REC0001070,REC0013578,0
REC0000698,REC0006251,0
REC0009201,REC0012359,0
REC0007212,REC0007214,1
REC0000296,REC0004963,0
REC0006937,REC0008865,0
REC0007755,REC0007756,1
REC0003499,REC0003500,1
REC0001781,REC0004766,0
REC0008576,REC0008577,1
REC0007785,REC0008823,0
REC0001168,REC0002988,0
REC0000748,REC0009011,0
REC0009110,REC0011991,0
REC0002993,REC0005660,0
REC0001882,REC0001883,1
REC0007711,REC0008186,0
REC0005155,REC0011732,0
REC0006405,REC0011543,0
REC0013148,REC0013149,1
REC0009604,REC0009605,1
REC0001209,REC0001210,1
REC0009121,REC0013683,0
REC0009644,REC0012772,0
REC0014436,REC0014437,1
REC0000412,REC0000413,1
REC0007051,REC0012450,0
REC0005791,REC0005793,1
REC0004724,REC0004725,1
REC0013811,REC0013812,1
REC0005681,REC0007406,0
REC0005033,REC0005034,1
REC0000461,REC0000462,1
REC0011494,REC0011495,1
REC0008657,REC0008658,1
REC0003362,REC0003363,1
REC0002255,REC0005541,0
