rule_id,scheme_id,attribute,operator,value
RUL001,SCH001,category,IN,SC
RUL002,SCH001,income,<=,250000
RUL003,SCH001,student_status,=,True
RUL004,SCH001,education_level,IN,"Primary,Secondary"
RUL005,SCH002,category,IN,"OBC,SEBC"
RUL006,SCH002,income,<=,250000
RUL007,SCH002,student_status,=,True
RUL008,SCH002,education_level,IN,"HigherSecondary,Graduate"
RUL009,SCH003,income,<=,300000
RUL010,SCH003,student_status,=,True
RUL011,SCH003,education_level,IN,Graduate
RUL012,SCH004,age,>=,60
RUL013,SCH004,income,<=,200000
RUL014,SCH004,family_size,>=,1
RUL015,SCH005,gender,=,Female
RUL016,SCH005,age,>=,18
RUL017,SCH005,income,<=,150000
RUL018,SCH006,gender,=,Female
RUL019,SCH006,age,<=,18
RUL020,SCH006,income,<=,200000
RUL021,SCH007,category,IN,"SC,ST"
RUL022,SCH007,income,<=,150000
RUL023,SCH007,housing_status,IN,"Rented,None"
RUL024,SCH008,category,IN,"OBC,SEBC"
RUL025,SCH008,income,<=,150000
RUL026,SCH008,housing_status,IN,"Rented,None"
RUL027,SCH009,disability_status,=,True
RUL028,SCH009,income,<=,150000
RUL029,SCH009,age,>=,1
RUL030,SCH010,category,IN,"SC,ST,OBC,SEBC"
RUL031,SCH010,income,<=,150000
RUL032,SCH010,age,>=,18
RUL033,SCH010,age,<=,60
RUL034,SCH011,income,<=,450000
RUL035,SCH011,education_level,IN,"HigherSecondary,Graduate"
RUL036,SCH011,age,>=,17
